Level,Expression,Type,Value,Min,Max,Average,# Changes,Min. Change,Max. Change
0,"(g_motor_chassis_tune).actual_speed_rpm","float",100.764412,90.6619339,107.221664,100.000839,"34 168",-5.05123901,4.47842407
0,"(g_motor_chassis_tune).requested_speed_rpm","float",100,100,100,100,0,0,0
